Row,z_1,z_2
0,-2.115597599844756,-0.3234181060268831
1,-2.0888235006383713,-0.23798699253382616
2,-2.0301374009618196,-0.2250863296444521
3,-1.9437023540305562,-0.227871499948122
4,-1.8876443911827878,-0.23042857421910012
5,-1.6952353455386153,-0.28657727454078463
6,-1.5457834063757088,-0.4874478168723199
7,-1.4526779753144936,-0.5613075916840711
8,-1.3374453148589385,-0.8564374637358618
9,-1.3352297906120292,-1.116697132809761
10,-1.3816795639903148,-1.1094396434849048
11,-1.435642960608298,-1.0826775000018862
12,-1.5266715897224932,-1.021284023250314
13,-1.682239584373275,-0.9690744930364198
14,-1.7409849955196308,-0.8979237095964876
15,-1.894224070005736,-0.7129253083464019
16,-2.042787916564071,-0.472834595162288
17,,
18,-0.7467199069664927,-2.1517033484412815
19,-0.8653780219995433,-1.776605375994251
20,-0.7079881972029911,-2.0842544477568556
21,,
22,-0.7058247392825043,-2.0804869182750734
23,-0.8653780219995433,-1.776605375994251
24,-0.6870310622848472,-2.04775888067874
25,-0.6876690904395969,-2.0488699676384003
26,,
27,-0.686688994954084,-2.0471631913698785
28,-0.8653780219995433,-1.776605375994251
29,-0.686465120922882,-2.0467733284542327
30,,
31,-0.8653780219995433,-1.776605375994251
32,-0.6861511587171935,-2.0462265824995756
33,-0.6861934068147112,-2.0463001549741957
34,,
35,-0.8653780219995433,-1.776605375994251
36,-0.685747027365581,-2.045522812499107
37,-0.6858657444406693,-2.0457295510153273
38,-0.6859566968389712,-2.04588793904719
39,,
40,-0.8653780219995433,-1.776605375994251
41,-0.6855830149849134,-2.045237194982034
42,-0.6857143483619128,-2.04546590401543
43,,
44,-0.8653780219995433,-1.776605375994251
45,-0.6854128587586638,-2.044940878334119
46,-0.6855094532146224,-2.0451090916638788
47,,
48,-0.685046071224844,-2.0443021403054606
49,-0.8653780219995433,-1.776605375994251
50,-0.6660507180586737,-2.0112228960119913
51,-0.6846702795278834,-2.0436477220780938
52,,
53,-0.8653780219995433,-1.776605375994251
54,-0.6657681610064802,-2.010730840208944
55,-0.6660415027575568,-2.0112068481294267
56,,
57,-0.8653780219995433,-1.776605375994251
58,-0.6657118947532714,-2.0106328559746376
59,-0.6657476225414514,-2.01069507372984
60,,
61,-0.6655569313652241,-2.0103629967240666
62,-0.8653780219995433,-1.776605375994251
63,-0.665504994777239,-2.0102725523366045
64,,
65,-0.8653780219995433,-1.776605375994251
66,-0.665441044895789,-2.0101611875342495
67,-0.6654845547535826,-2.010236957287122
68,,
69,-0.8653780219995433,-1.776605375994251
70,-0.6652953363661298,-2.009907445052808
71,-0.6653953882678401,-2.0100816793126164
72,,
73,-0.6652022136931366,-2.0097452776204756
74,-0.8653780219995433,-1.776605375994251
75,-0.6651792722062801,-2.009705326426016
76,,
77,-0.8653780219995433,-1.776605375994251
78,-0.6650726686409576,-2.0095196828452404
79,-0.6651222093842708,-2.0096059550159238
80,,
81,-0.8653780219995433,-1.776605375994251
82,-0.6650003372769979,-2.009393722204363
83,-0.6650206407273342,-2.009429079419772
84,-0.665063858930645,-2.0095043412742237
85,,
